40.0,58.0,71.0,85.0,106.0,127.0,142.0,161.0,177.0,192.0,206.0,225.0,243.0,262.0,279.0,293.0,308.0,330.0,348.0,360.0,374.0,394.0,405.0,422.0,439.0,458.0
40.0,55.0,70.0,89.0,106.0,121.0,139.0,156.0,172.0,190.0,203.0,215.0,234.0,254.0,270.0,285.0,297.0,315.0,332.0,346.0,365.0,380.0,397.0,412.0,429.0,441.0
40.0,55.0,69.0,89.0,104.0,120.0,134.0,152.0,170.0,185.0,204.0,220.0,238.0,255.0,268.0,286.0,300.0,318.0,336.0,354.0,372.0,389.0,405.0,430.0,447.0,464.0
40.0,55.0,72.0,88.0,109.0,130.0,150.0,167.0,185.0,201.0,212.0,232.0,251.0,269.0,286.0,305.0,321.0,339.0,354.0,371.0,389.0,407.0,425.0,440.0,457.0,476.0
40.0,60.0,71.0,90.0,107.0,123.0,143.0,158.0,172.0,189.0,205.0,223.0,239.0,253.0,273.0,294.0,310.0,329.0,349.0,363.0,380.0,400.0,419.0,431.0,446.0,467.0
40.0,55.0,69.0,85.0,105.0,121.0,141.0,156.0,172.0,188.0,205.0,228.0,242.0,259.0,275.0,294.0,307.0,322.0,342.0,361.0,373.0,390.0,409.0,424.0,440.0,451.0
40.0,54.0,69.0,87.0,105.0,123.0,141.0,159.0,177.0,194.0,208.0,225.0,244.0,266.0,280.0,295.0,312.0,332.0,347.0,364.0,378.0,397.0,410.0,425.0,447.0,461.0
40.0,59.0,71.0,89.0,107.0,124.0,138.0,158.0,174.0,189.0,207.0,224.0,245.0,261.0,282.0,298.0,310.0,335.0,350.0,368.0,385.0,406.0,423.0,438.0,455.0,472.0
40.0,55.0,68.0,86.0,105.0,122.0,138.0,157.0,174.0,188.0,209.0,226.0,244.0,261.0,281.0,299.0,316.0,333.0,350.0,367.0,385.0,402.0,421.0,434.0,451.0,469.0
40.0,55.0,70.0,83.0,105.0,120.0,138.0,157.0,171.0,185.0,204.0,221.0,240.0,258.0,273.0,286.0,304.0,330.0,348.0,364.0,382.0,396.0,414.0,431.0,454.0,475.0
