5.0,16.0,27.0,40.0,51.0,61.0,74.0,86.0,97.0,108.0,121.0,133.0,145.0,156.0,168.0,180.0,192.0,204.0,215.0,227.0,238.0,250.0,262.0,273.0,283.0,296.0,308.0,318.0,331.0,343.0,354.0,365.0,379.0,389.0,400.0,413.0,425.0,435.0,447.0,460.0,470.0
5.0,15.0,26.0,39.0,50.0,61.0,73.0,84.0,96.0,108.0,120.0,131.0,143.0,155.0,166.0,177.0,190.0,202.0,213.0,225.0,236.0,247.0,260.0,271.0,282.0,295.0,306.0,318.0,330.0,341.0,353.0,364.0,378.0,388.0,398.0,412.0,423.0,434.0,448.0,458.0,470.0
5.0,16.0,26.0,38.0,50.0,61.0,73.0,85.0,95.0,106.0,119.0,131.0,141.0,152.0,165.0,176.0,188.0,200.0,211.0,222.0,235.0,246.0,257.0,270.0,282.0,292.0,304.0,317.0,327.0,338.0,352.0,363.0,374.0,387.0,397.0,409.0,422.0,432.0,446.0,457.0,467.0
5.0,16.0,26.0,39.0,50.0,61.0,73.0,84.0,97.0,109.0,120.0,131.0,144.0,155.0,167.0,179.0,191.0,201.0,214.0,227.0,237.0,249.0,262.0,272.0,283.0,296.0,307.0,317.0,330.0,342.0,352.0,364.0,376.0,388.0,400.0,412.0,422.0,435.0,447.0,459.0,470.0
5.0,16.0,27.0,40.0,51.0,61.0,74.0,86.0,96.0,108.0,120.0,131.0,143.0,154.0,166.0,178.0,189.0,201.0,213.0,224.0,237.0,248.0,258.0,271.0,283.0,293.0,305.0,318.0,328.0,340.0,352.0,363.0,374.0,385.0,398.0,409.0,421.0,433.0,444.0,455.0,469.0
5.0,16.0,26.0,38.0,51.0,62.0,73.0,84.0,96.0,108.0,121.0,131.0,142.0,155.0,166.0,177.0,189.0,200.0,212.0,224.0,234.0,246.0,258.0,269.0,281.0,293.0,305.0,316.0,328.0,340.0,350.0,363.0,375.0,385.0,397.0,410.0,420.0,431.0,444.0,456.0,466.0
5.0,16.0,26.0,38.0,51.0,61.0,72.0,85.0,96.0,108.0,120.0,132.0,142.0,155.0,167.0,178.0,191.0,202.0,213.0,225.0,236.0,249.0,260.0,271.0,285.0,295.0,305.0,319.0,331.0,342.0,354.0,365.0,377.0,389.0,400.0,410.0,423.0,436.0,446.0,457.0,470.0
5.0,15.0,28.0,40.0,50.0,61.0,74.0,85.0,97.0,108.0,119.0,132.0,143.0,154.0,166.0,178.0,190.0,201.0,212.0,224.0,236.0,248.0,259.0,271.0,282.0,293.0,306.0,317.0,327.0,340.0,352.0,363.0,374.0,386.0,398.0,410.0,421.0,433.0,444.0,455.0,468.0
5.0,15.0,25.0,39.0,50.0,61.0,74.0,85.0,97.0,110.0,120.0,133.0,145.0,155.0,166.0,180.0,191.0,202.0,215.0,225.0,236.0,249.0,260.0,271.0,282.0,295.0,306.0,317.0,330.0,341.0,353.0,365.0,377.0,388.0,398.0,411.0,423.0,434.0,445.0,457.0,468.0
5.0,16.0,26.0,39.0,51.0,62.0,73.0,86.0,96.0,108.0,121.0,131.0,142.0,154.0,166.0,177.0,188.0,200.0,212.0,223.0,235.0,246.0,257.0,268.0,281.0,292.0,302.0,316.0,327.0,337.0,350.0,362.0,372.0,385.0,397.0,409.0,420.0,431.0,444.0,455.0,466.0
