40.0,57.0,73.0,92.0,110.0,129.0,147.0,163.0,177.0,196.0,210.0,224.0,243.0,265.0,280.0,295.0,309.0,330.0,345.0,359.0,377.0,392.0,407.0,426.0,439.0,458.0
40.0,58.0,69.0,89.0,108.0,123.0,140.0,159.0,171.0,189.0,204.0,222.0,238.0,253.0,268.0,283.0,298.0,315.0,333.0,348.0,364.0,386.0,403.0,418.0,432.0,452.0
40.0,60.0,70.0,86.0,104.0,124.0,139.0,154.0,175.0,192.0,206.0,222.0,239.0,260.0,276.0,289.0,305.0,324.0,336.0,354.0,368.0,385.0,403.0,423.0,440.0,456.0
40.0,60.0,75.0,88.0,111.0,129.0,146.0,160.0,176.0,192.0,209.0,228.0,241.0,259.0,274.0,291.0,308.0,324.0,336.0,354.0,373.0,390.0,405.0,419.0,436.0,457.0
40.0,61.0,77.0,91.0,107.0,127.0,148.0,165.0,177.0,195.0,214.0,233.0,248.0,264.0,280.0,299.0,316.0,331.0,345.0,359.0,382.0,402.0,418.0,434.0,448.0,468.0
40.0,60.0,73.0,91.0,107.0,124.0,140.0,159.0,176.0,195.0,212.0,228.0,245.0,259.0,276.0,295.0,310.0,326.0,341.0,362.0,384.0,396.0,413.0,431.0,446.0,461.0
40.0,61.0,73.0,89.0,105.0,121.0,138.0,152.0,168.0,183.0,196.0,217.0,232.0,249.0,267.0,282.0,300.0,320.0,336.0,356.0,370.0,389.0,405.0,421.0,438.0,456.0
40.0,59.0,71.0,89.0,110.0,125.0,141.0,160.0,178.0,194.0,213.0,235.0,251.0,266.0,284.0,300.0,315.0,335.0,353.0,373.0,387.0,400.0,422.0,439.0,455.0,473.0
40.0,59.0,73.0,91.0,108.0,125.0,146.0,163.0,183.0,200.0,214.0,234.0,248.0,263.0,284.0,303.0,317.0,330.0,346.0,362.0,384.0,404.0,419.0,437.0,455.0,473.0
40.0,56.0,71.0,90.0,114.0,131.0,148.0,165.0,183.0,201.0,217.0,235.0,254.0,270.0,285.0,298.0,316.0,334.0,357.0,374.0,388.0,404.0,419.0,434.0,451.0,466.0
