40.0,54.0,71.0,88.0,111.0,132.0,149.0,167.0,182.0,199.0,217.0,234.0,254.0,273.0,287.0,304.0,322.0,338.0,358.0,378.0,392.0,410.0,431.0,445.0,458.0,476.0
40.0,54.0,70.0,93.0,113.0,131.0,148.0,165.0,185.0,203.0,220.0,238.0,254.0,267.0,286.0,302.0,321.0,343.0,356.0,371.0,394.0,411.0,426.0,445.0,466.0,484.0
40.0,57.0,74.0,89.0,109.0,130.0,147.0,165.0,181.0,200.0,212.0,231.0,249.0,267.0,283.0,301.0,320.0,338.0,357.0,373.0,388.0,406.0,427.0,444.0,458.0,475.0
40.0,57.0,70.0,87.0,103.0,118.0,134.0,153.0,172.0,193.0,207.0,220.0,237.0,254.0,268.0,290.0,306.0,321.0,339.0,355.0,374.0,392.0,407.0,421.0,439.0,457.0
40.0,54.0,67.0,89.0,103.0,123.0,140.0,160.0,181.0,199.0,216.0,235.0,247.0,262.0,280.0,299.0,315.0,333.0,353.0,372.0,389.0,403.0,419.0,438.0,453.0,465.0
40.0,53.0,68.0,89.0,113.0,130.0,149.0,162.0,180.0,197.0,212.0,233.0,251.0,267.0,286.0,301.0,319.0,336.0,351.0,368.0,386.0,403.0,417.0,436.0,452.0,467.0
40.0,56.0,73.0,91.0,109.0,129.0,148.0,171.0,188.0,202.0,223.0,240.0,258.0,273.0,290.0,311.0,330.0,344.0,356.0,370.0,388.0,409.0,427.0,442.0,460.0,476.0
40.0,55.0,70.0,88.0,107.0,124.0,142.0,158.0,175.0,193.0,209.0,224.0,242.0,256.0,273.0,294.0,306.0,317.0,341.0,358.0,376.0,396.0,408.0,425.0,440.0,458.0
40.0,54.0,69.0,87.0,106.0,131.0,146.0,161.0,182.0,201.0,219.0,234.0,254.0,271.0,287.0,307.0,321.0,337.0,360.0,379.0,393.0,414.0,432.0,447.0,461.0,480.0
40.0,56.0,68.0,87.0,110.0,126.0,143.0,161.0,181.0,201.0,219.0,236.0,253.0,269.0,284.0,300.0,320.0,337.0,351.0,373.0,390.0,404.0,423.0,441.0,458.0,477.0
