20.0,35.0,47.0,61.0,73.0,87.0,102.0,116.0,128.0,141.0,155.0,167.0,180.0,194.0,207.0,221.0,233.0,248.0,263.0,275.0,292.0,305.0,317.0,327.0,338.0,348.0,367.0,379.0,392.0,407.0,418.0
20.0,36.0,49.0,61.0,73.0,89.0,103.0,116.0,128.0,143.0,156.0,171.0,184.0,196.0,208.0,220.0,235.0,248.0,263.0,275.0,289.0,303.0,316.0,327.0,340.0,352.0,367.0,380.0,390.0,404.0,421.0
20.0,33.0,45.0,59.0,74.0,90.0,105.0,117.0,129.0,145.0,158.0,171.0,184.0,198.0,212.0,225.0,238.0,250.0,264.0,275.0,288.0,302.0,316.0,328.0,340.0,354.0,368.0,381.0,393.0,407.0,419.0
20.0,32.0,44.0,59.0,77.0,90.0,100.0,112.0,125.0,138.0,153.0,167.0,180.0,192.0,202.0,218.0,231.0,244.0,258.0,272.0,287.0,297.0,313.0,326.0,341.0,353.0,368.0,381.0,396.0,413.0,426.0
20.0,35.0,48.0,62.0,78.0,94.0,106.0,121.0,134.0,146.0,160.0,178.0,191.0,204.0,214.0,227.0,242.0,256.0,269.0,283.0,295.0,308.0,323.0,336.0,349.0,363.0,377.0,389.0,404.0,421.0,434.0
20.0,33.0,44.0,57.0,75.0,90.0,102.0,115.0,127.0,140.0,153.0,166.0,180.0,193.0,206.0,219.0,231.0,244.0,257.0,271.0,285.0,298.0,312.0,326.0,339.0,349.0,363.0,377.0,394.0,408.0,420.0
20.0,32.0,43.0,59.0,74.0,89.0,106.0,121.0,133.0,143.0,158.0,171.0,184.0,198.0,211.0,224.0,236.0,248.0,260.0,277.0,289.0,300.0,315.0,328.0,342.0,356.0,370.0,384.0,397.0,411.0,424.0
20.0,32.0,44.0,62.0,78.0,91.0,107.0,121.0,137.0,150.0,165.0,177.0,189.0,203.0,216.0,233.0,246.0,259.0,273.0,286.0,296.0,308.0,320.0,333.0,348.0,360.0,373.0,389.0,402.0,416.0,430.0
20.0,33.0,47.0,63.0,75.0,93.0,108.0,122.0,137.0,150.0,166.0,182.0,197.0,210.0,221.0,235.0,251.0,264.0,275.0,287.0,301.0,313.0,329.0,343.0,356.0,368.0,382.0,394.0,406.0,418.0,430.0
20.0,32.0,46.0,61.0,77.0,94.0,110.0,122.0,137.0,149.0,165.0,177.0,189.0,202.0,216.0,227.0,241.0,258.0,271.0,283.0,297.0,312.0,326.0,340.0,354.0,367.0,379.0,397.0,413.0,428.0,442.0
