10.0,21.0,32.0,43.0,54.0,64.0,74.0,83.0,92.0,101.0,110.0,119.0,128.0,137.0,146.0,156.0,166.0,176.0,186.0,196.0,206.0,216.0,227.0,238.0,249.0,260.0,271.0,282.0,293.0,304.0,315.0
10.0,21.0,32.0,42.0,51.0,61.0,70.0,79.0,88.0,97.0,106.0,115.0,124.0,133.0,142.0,151.0,160.0,170.0,180.0,190.0,200.0,210.0,220.0,230.0,241.0,252.0,263.0,274.0,285.0,296.0,307.0
10.0,21.0,30.0,39.0,49.0,59.0,69.0,78.0,87.0,96.0,105.0,116.0,127.0,138.0,149.0,160.0,171.0,182.0,193.0,204.0,214.0,224.0,234.0,244.0,254.0,265.0,276.0,287.0,298.0,309.0,320.0
10.0,20.0,29.0,38.0,48.0,58.0,68.0,77.0,86.0,95.0,104.0,113.0,122.0,131.0,139.0,147.0,155.0,165.0,175.0,186.0,197.0,208.0,219.0,230.0,241.0,252.0,263.0,274.0,285.0,296.0,307.0
10.0,21.0,31.0,42.0,53.0,64.0,75.0,85.0,95.0,105.0,115.0,125.0,135.0,146.0,157.0,168.0,179.0,190.0,201.0,212.0,223.0,234.0,245.0,256.0,267.0,278.0,289.0,300.0,311.0,322.0,333.0
10.0,21.0,32.0,43.0,53.0,64.0,75.0,86.0,97.0,108.0,119.0,130.0,141.0,152.0,163.0,174.0,185.0,196.0,207.0,218.0,229.0,240.0,251.0,262.0,273.0,284.0,295.0,306.0,317.0,328.0,339.0
10.0,21.0,32.0,43.0,54.0,65.0,75.0,84.0,94.0,104.0,114.0,123.0,133.0,143.0,153.0,163.0,173.0,183.0,193.0,203.0,213.0,223.0,233.0,243.0,253.0,263.0,273.0,284.0,295.0,306.0,317.0
10.0,21.0,32.0,42.0,51.0,60.0,69.0,79.0,89.0,99.0,109.0,119.0,129.0,139.0,149.0,159.0,169.0,179.0,189.0,199.0,210.0,221.0,232.0,243.0,254.0,265.0,276.0,287.0,298.0,309.0,320.0
10.0,20.0,30.0,39.0,48.0,57.0,66.0,74.0,82.0,91.0,100.0,109.0,118.0,127.0,136.0,146.0,156.0,167.0,178.0,189.0,200.0,211.0,222.0,233.0,244.0,255.0,266.0,277.0,288.0,299.0,310.0
10.0,21.0,32.0,43.0,52.0,63.0,74.0,85.0,95.0,105.0,116.0,127.0,138.0,149.0,160.0,171.0,182.0,193.0,204.0,215.0,226.0,237.0,248.0,259.0,270.0,281.0,292.0,303.0,314.0,325.0,336.0
