20.0,45.0,70.0,89.0,110.0,131.0,148.0,170.0,186.0,202.0,217.0,231.0,243.0,259.0,272.0,284.0,298.0,311.0,325.0,338.0,349.0,361.0,373.0,385.0,397.0,408.0
20.0,45.0,70.0,93.0,114.0,134.0,153.0,170.0,186.0,203.0,217.0,233.0,246.0,263.0,276.0,291.0,305.0,317.0,331.0,344.0,356.0,368.0,381.0,391.0,405.0,415.0
20.0,45.0,70.0,93.0,111.0,125.0,143.0,162.0,181.0,199.0,215.0,232.0,248.0,267.0,284.0,301.0,318.0,335.0,349.0,367.0,380.0,399.0,414.0,429.0,443.0,458.0
20.0,45.0,70.0,95.0,118.0,136.0,153.0,170.0,189.0,202.0,222.0,233.0,251.0,263.0,278.0,291.0,305.0,319.0,332.0,345.0,357.0,370.0,381.0,396.0,405.0,417.0
20.0,45.0,68.0,85.0,106.0,126.0,144.0,164.0,183.0,199.0,218.0,232.0,249.0,266.0,282.0,297.0,313.0,328.0,343.0,360.0,375.0,388.0,404.0,415.0,430.0,443.0
20.0,45.0,70.0,87.0,111.0,132.0,155.0,174.0,191.0,212.0,228.0,245.0,262.0,278.0,292.0,309.0,324.0,338.0,353.0,367.0,381.0,395.0,406.0,423.0,434.0,449.0
20.0,45.0,70.0,93.0,106.0,125.0,143.0,158.0,174.0,193.0,209.0,226.0,240.0,255.0,273.0,286.0,303.0,318.0,334.0,346.0,361.0,372.0,384.0,398.0,409.0,421.0
20.0,45.0,70.0,94.0,118.0,140.0,160.0,180.0,198.0,215.0,234.0,249.0,265.0,279.0,296.0,313.0,327.0,346.0,359.0,375.0,391.0,409.0,422.0,439.0,452.0,468.0
20.0,45.0,70.0,92.0,108.0,123.0,140.0,156.0,176.0,189.0,204.0,218.0,231.0,247.0,258.0,276.0,286.0,303.0,314.0,330.0,339.0,355.0,368.0,379.0,393.0,403.0
20.0,45.0,70.0,94.0,116.0,137.0,157.0,173.0,190.0,208.0,223.0,242.0,257.0,271.0,288.0,302.0,315.0,328.0,342.0,358.0,370.0,385.0,396.0,412.0,423.0,435.0
