0.0,9.0,18.0,27.0,37.0,47.0,57.0,67.0,75.0,83.0,91.0,101.0,110.0,117.0,125.0,133.0,141.0,149.0,154.0,160.0,167.0
0.0,10.0,19.0,27.0,35.0,44.0,54.0,64.0,72.0,80.0,89.0,98.0,107.0,115.0,123.0,130.0,137.0,144.0,152.0,158.0,163.0
0.0,10.0,20.0,30.0,40.0,50.0,60.0,69.0,77.0,86.0,96.0,106.0,116.0,126.0,135.0,144.0,152.0,160.0,169.0,177.0,186.0
0.0,10.0,20.0,30.0,39.0,47.0,55.0,63.0,71.0,80.0,89.0,99.0,108.0,117.0,126.0,135.0,143.0,151.0,159.0,168.0,177.0
0.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,99.0,107.0,115.0,122.0,129.0,136.0,144.0,151.0,157.0,163.0,170.0
0.0,10.0,20.0,29.0,38.0,47.0,56.0,65.0,74.0,83.0,92.0,101.0,110.0,119.0,129.0,138.0,147.0,156.0,164.0,170.0,178.0
0.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,79.0,87.0,95.0,104.0,114.0,123.0,132.0,140.0,149.0,156.0,162.0,168.0,174.0
0.0,10.0,20.0,30.0,40.0,49.0,57.0,66.0,75.0,84.0,93.0,102.0,110.0,117.0,125.0,133.0,140.0,147.0,154.0,161.0,166.0
0.0,9.0,17.0,24.0,31.0,38.0,47.0,56.0,65.0,74.0,82.0,91.0,100.0,109.0,119.0,127.0,135.0,143.0,151.0,159.0,168.0
0.0,10.0,19.0,27.0,34.0,41.0,49.0,58.0,67.0,76.0,85.0,95.0,105.0,115.0,125.0,135.0,144.0,153.0,162.0,172.0,181.0
