10.0,21.0,32.0,43.0,55.0,67.0,79.0,91.0,101.0,111.0,121.0,133.0,144.0,153.0,163.0,173.0,183.0,193.0,200.0,208.0,217.0
10.0,22.0,33.0,43.0,53.0,64.0,76.0,88.0,98.0,108.0,119.0,130.0,141.0,151.0,161.0,170.0,179.0,188.0,198.0,206.0,213.0
10.0,22.0,34.0,46.0,58.0,70.0,82.0,93.0,103.0,114.0,126.0,138.0,150.0,162.0,173.0,184.0,194.0,204.0,215.0,225.0,236.0
10.0,22.0,34.0,46.0,57.0,67.0,77.0,87.0,97.0,108.0,119.0,131.0,142.0,153.0,164.0,175.0,185.0,195.0,205.0,216.0,227.0
10.0,22.0,34.0,46.0,58.0,70.0,82.0,94.0,106.0,118.0,129.0,139.0,149.0,158.0,167.0,176.0,186.0,195.0,203.0,211.0,220.0
10.0,22.0,34.0,45.0,56.0,67.0,78.0,89.0,100.0,111.0,122.0,133.0,144.0,155.0,167.0,178.0,189.0,200.0,210.0,218.0,228.0
10.0,22.0,34.0,46.0,58.0,70.0,82.0,94.0,105.0,115.0,125.0,136.0,148.0,159.0,170.0,180.0,191.0,200.0,208.0,216.0,224.0
10.0,22.0,34.0,46.0,58.0,69.0,79.0,90.0,101.0,112.0,123.0,134.0,144.0,153.0,163.0,173.0,182.0,191.0,200.0,209.0,216.0
10.0,21.0,31.0,40.0,49.0,58.0,69.0,80.0,91.0,102.0,112.0,123.0,134.0,145.0,157.0,167.0,177.0,187.0,197.0,207.0,218.0
10.0,22.0,33.0,43.0,52.0,61.0,71.0,82.0,93.0,104.0,115.0,127.0,139.0,151.0,163.0,175.0,186.0,197.0,208.0,220.0,231.0
