50.0,65.0,105.0,149.0,191.0,231.0,277.0,326.0,366.0,402.0,443.0,487.0,524.0,556.0,583.0,615.0,648.0,668.0,689.0,715.0,739.0,763.0,786.0,805.0,832.0,856.0,877.0,901.0,921.0,946.0,972.0
50.0,62.0,104.0,155.0,198.0,239.0,285.0,330.0,382.0,425.0,465.0,507.0,547.0,572.0,607.0,637.0,659.0,676.0,698.0,728.0,754.0,778.0,798.0,821.0,843.0,868.0,890.0,914.0,934.0,957.0,981.0
50.0,67.0,109.0,158.0,209.0,254.0,289.0,321.0,353.0,388.0,429.0,473.0,512.0,552.0,589.0,624.0,649.0,670.0,694.0,723.0,749.0,772.0,793.0,818.0,844.0,870.0,891.0,917.0,939.0,963.0,986.0
50.0,61.0,98.0,142.0,182.0,224.0,268.0,316.0,367.0,418.0,463.0,504.0,546.0,578.0,610.0,640.0,674.0,695.0,718.0,745.0,770.0,791.0,814.0,837.0,859.0,880.0,903.0,924.0,949.0,974.0,1002.0
50.0,64.0,106.0,149.0,191.0,231.0,275.0,319.0,357.0,404.0,448.0,486.0,515.0,549.0,586.0,613.0,644.0,677.0,699.0,726.0,754.0,775.0,791.0,821.0,843.0,863.0,887.0,906.0,932.0,958.0,975.0
50.0,62.0,98.0,148.0,202.0,254.0,295.0,328.0,363.0,403.0,446.0,489.0,528.0,569.0,602.0,631.0,657.0,683.0,708.0,737.0,758.0,782.0,814.0,841.0,863.0,887.0,911.0,933.0,957.0,977.0,995.0
50.0,62.0,100.0,145.0,192.0,239.0,285.0,320.0,353.0,393.0,436.0,482.0,527.0,556.0,591.0,619.0,637.0,661.0,688.0,717.0,734.0,757.0,779.0,803.0,830.0,853.0,875.0,896.0,920.0,944.0,968.0
50.0,64.0,105.0,151.0,192.0,241.0,293.0,336.0,369.0,400.0,437.0,480.0,524.0,564.0,595.0,624.0,646.0,673.0,704.0,724.0,756.0,775.0,801.0,826.0,847.0,875.0,899.0,927.0,950.0,970.0,997.0
50.0,67.0,111.0,155.0,197.0,245.0,291.0,323.0,359.0,405.0,450.0,492.0,530.0,563.0,596.0,619.0,639.0,668.0,693.0,715.0,739.0,765.0,793.0,815.0,835.0,865.0,886.0,903.0,929.0,953.0,976.0
50.0,62.0,104.0,149.0,188.0,230.0,273.0,321.0,372.0,412.0,445.0,478.0,519.0,561.0,590.0,622.0,645.0,667.0,704.0,724.0,742.0,772.0,793.0,823.0,847.0,874.0,897.0,917.0,942.0,964.0,983.0
