0.0,6.0,12.0,48.0,56.0,64.0,100.0,107.0,117.0,149.0,163.0,175.0,206.0,218.0,234.0,260.0,281.0,302.0,326.0,347.0,370.0,395.0,412.0,422.0,444.0,461.0,473.0,495.0,510.0,523.0,544.0,560.0,571.0,594.0,609.0,621.0,644.0,658.0,669.0,693.0,708.0
0.0,4.0,10.0,51.0,58.0,67.0,100.0,111.0,128.0,153.0,174.0,195.0,220.0,239.0,257.0,280.0,303.0,323.0,347.0,368.0,382.0,397.0,417.0,432.0,447.0,465.0,482.0,497.0,514.0,532.0,546.0,563.0,583.0,595.0,613.0,634.0,646.0,662.0,683.0,695.0,711.0
0.0,6.0,12.0,48.0,57.0,69.0,99.0,110.0,122.0,149.0,168.0,195.0,215.0,236.0,259.0,280.0,302.0,328.0,351.0,367.0,378.0,401.0,417.0,427.0,449.0,467.0,477.0,498.0,517.0,528.0,547.0,566.0,578.0,596.0,616.0,627.0,645.0,664.0,676.0,694.0,711.0
0.0,3.0,10.0,45.0,56.0,68.0,99.0,114.0,130.0,151.0,170.0,191.0,212.0,226.0,248.0,271.0,291.0,314.0,334.0,360.0,380.0,397.0,417.0,430.0,447.0,468.0,479.0,497.0,517.0,529.0,546.0,566.0,579.0,594.0,615.0,628.0,644.0,664.0,677.0,694.0,713.0
0.0,4.0,7.0,49.0,55.0,60.0,100.0,105.0,117.0,151.0,162.0,183.0,210.0,223.0,244.0,266.0,284.0,309.0,334.0,351.0,374.0,399.0,411.0,425.0,449.0,461.0,475.0,499.0,511.0,525.0,548.0,561.0,575.0,597.0,611.0,625.0,647.0,661.0,675.0,696.0,709.0
0.0,2.0,9.0,48.0,55.0,67.0,97.0,112.0,127.0,152.0,173.0,193.0,215.0,241.0,260.0,283.0,306.0,328.0,348.0,376.0,388.0,398.0,425.0,437.0,446.0,472.0,486.0,495.0,522.0,536.0,544.0,571.0,585.0,594.0,619.0,635.0,644.0,668.0,683.0,695.0,715.0
0.0,6.0,10.0,49.0,56.0,61.0,101.0,107.0,113.0,150.0,169.0,178.0,206.0,230.0,245.0,268.0,285.0,308.0,332.0,353.0,382.0,408.0,419.0,432.0,458.0,469.0,482.0,507.0,519.0,532.0,557.0,569.0,582.0,606.0,618.0,633.0,656.0,668.0,682.0,705.0,718.0
0.0,4.0,11.0,51.0,54.0,64.0,101.0,108.0,119.0,154.0,166.0,181.0,208.0,225.0,250.0,273.0,286.0,310.0,336.0,357.0,374.0,386.0,406.0,423.0,436.0,454.0,473.0,486.0,505.0,519.0,536.0,554.0,568.0,586.0,602.0,618.0,634.0,651.0,666.0,684.0,702.0
0.0,7.0,10.0,49.0,59.0,67.0,97.0,110.0,120.0,149.0,162.0,182.0,204.0,220.0,243.0,260.0,279.0,301.0,319.0,343.0,362.0,383.0,401.0,417.0,435.0,449.0,467.0,486.0,498.0,516.0,536.0,548.0,564.0,585.0,598.0,614.0,635.0,648.0,664.0,683.0,698.0
0.0,4.0,6.0,49.0,56.0,60.0,99.0,109.0,118.0,152.0,166.0,184.0,210.0,225.0,247.0,274.0,292.0,307.0,331.0,354.0,372.0,391.0,403.0,421.0,439.0,453.0,470.0,487.0,503.0,519.0,537.0,553.0,567.0,587.0,602.0,616.0,637.0,652.0,666.0,686.0,702.0
