10.0,21.0,32.0,43.0,54.0,64.0,74.0,82.0,91.0,100.0,109.0,120.0,128.0,130.0,134.0,141.0,144.0,146.0,149.0,154.0,158.0,161.0,162.0,164.0,166.0,170.0,173.0,178.0,182.0,185.0,186.0
10.0,21.0,32.0,41.0,44.0,49.0,51.0,54.0,56.0,59.0,63.0,66.0,69.0,73.0,76.0,79.0,82.0,87.0,90.0,92.0,95.0,98.0,101.0,104.0,107.0,111.0,114.0,117.0,118.0,123.0,127.0
10.0,21.0,32.0,43.0,51.0,60.0,71.0,82.0,88.0,94.0,102.0,109.0,114.0,117.0,123.0,129.0,131.0,135.0,143.0,152.0,161.0,165.0,170.0,171.0,177.0,182.0,185.0,190.0,191.0,193.0,196.0
10.0,21.0,32.0,43.0,52.0,58.0,65.0,72.0,79.0,87.0,97.0,106.0,115.0,124.0,131.0,139.0,142.0,147.0,151.0,156.0,161.0,163.0,166.0,170.0,173.0,176.0,177.0,181.0,184.0,187.0,190.0
10.0,21.0,32.0,40.0,50.0,56.0,61.0,66.0,74.0,82.0,92.0,103.0,114.0,123.0,132.0,141.0,145.0,151.0,153.0,158.0,160.0,164.0,168.0,172.0,177.0,181.0,184.0,187.0,189.0,192.0,195.0
10.0,21.0,31.0,32.0,36.0,38.0,43.0,48.0,53.0,58.0,64.0,70.0,72.0,75.0,82.0,89.0,97.0,105.0,114.0,119.0,123.0,128.0,136.0,144.0,152.0,161.0,167.0,173.0,179.0,182.0,186.0
10.0,21.0,32.0,43.0,54.0,65.0,75.0,85.0,96.0,106.0,114.0,122.0,127.0,132.0,138.0,144.0,149.0,153.0,157.0,160.0,165.0,171.0,173.0,176.0,179.0,184.0,187.0,189.0,191.0,193.0,197.0
10.0,21.0,32.0,43.0,54.0,64.0,72.0,81.0,89.0,97.0,105.0,112.0,118.0,126.0,134.0,138.0,143.0,147.0,150.0,154.0,157.0,162.0,166.0,171.0,174.0,177.0,180.0,183.0,189.0,190.0,194.0
10.0,21.0,32.0,42.0,48.0,56.0,60.0,65.0,67.0,69.0,75.0,78.0,81.0,84.0,88.0,89.0,92.0,95.0,96.0,98.0,105.0,111.0,112.0,115.0,120.0,124.0,125.0,127.0,132.0,134.0,138.0
10.0,21.0,31.0,40.0,48.0,57.0,66.0,73.0,81.0,87.0,96.0,104.0,112.0,123.0,133.0,142.0,144.0,147.0,149.0,153.0,156.0,159.0,162.0,166.0,168.0,172.0,175.0,177.0,181.0,186.0,190.0
